r(angstrom),E_Kr2_AB(Hartree),E_Kr_iso(Hartree),E_KrA_AB(Hartree),E_KrB_AB(Hartree),E_int_noCP(Hartree),E_int_CP(Hartree),BSSE_correction(Hartree),E_int_noCP(kcal/mol),E_int_CP(kcal/mol),BSSE_correction(kcal/mol)
5.0,-5507.445326792116,-2753.722540250774,-2753.722546028187,-2753.722546030351,-0.0002462905686115846,-0.00023473357805414707,1.155699055743753e-05,-0.15454966516061636,-0.14729754409489576,0.007252121065720591
5.2,-5507.445265526667,-2753.722540250774,-2753.722542759453,-2753.72254276102,-0.00018502511920814868,-0.0001800061936592101,5.018925548938569e-06,-0.11610501523109266,-0.11295559189983306,0.0031494233312596024
5.4,-5507.445225719456,-2753.722540250774,-2753.722542871524,-2753.72254287317,-0.0001452179085390526,-0.00013997476207805448,5.243146460998105e-06,-0.09112561340272099,-0.0878354893248751,0.0032901240778458823
5.6,-5507.445196720855,-2753.722540250774,-2753.722543951745,-2753.722543954817,-0.00011621930752880871,-0.00010881429307119106,7.4050144576176535e-06,-0.07292871653604699,-0.06828199980878494,0.004646716727262049
5.8,-5507.445164746622,-2753.722540250774,-2753.722539011176,-2753.72253901402,-8.424507450399688e-05,-8.672142575960606e-05,-2.4763512556091882e-06,-0.05286458238909389,-0.05441851626294045,-0.001553933873846561
6.0,-5507.445149212112,-2753.722540250774,-2753.722540147367,-2753.722540150159,-6.87105639372021e-05,-6.89145854266826e-05,-2.0402148948051035e-07,-0.04311652983447705,-0.04324455525202567,-0.00012802541754861158
6.2,-5507.445148159369,-2753.722540250774,-2753.722546063445,-2753.722546061715,-6.765782109141583e-05,-5.603420868283138e-05,1.162361240858445e-05,-0.04245592372506045,-0.03516199681656975,0.0072939269084907
6.4,-5507.445129547486,-2753.722540250774,-2753.722541860466,-2753.722541859029,-4.9045938794733956e-05,-4.582799101626733e-05,3.2179477784666233e-06,-0.030776791254919698,-0.02875749853709464,0.002019292717825059
7.0,-5507.445116650744,-2753.722540250774,-2753.722545174783,-2753.722545174936,-3.6149196603219025e-05,-2.630102517287014e-05,9.848171430348884e-06,-0.022683963346008557,-0.0165041424718885,0.006179820874120056
7.5,-5507.445104986513,-2753.722540250774,-2753.722543865789,-2753.722543866015,-2.4484965251758695e-05,-1.7254709291592008e-05,7.230255960166687e-06,-0.015364547666039376,-0.010827493551589813,0.004537054114449562
