r(angstrom),E_Ar2_AB(Hartree),E_Ar_iso(Hartree),E_ArA_AB(Hartree),E_ArB_AB(Hartree),E_int_noCP(Hartree),E_int_CP(Hartree),BSSE_correction(Hartree),E_int_noCP(kcal/mol),E_int_CP(kcal/mol),BSSE_correction(kcal/mol)
3.55,-1055.10319321373,-527.551432950626,-527.551443471477,-527.551443471949,-0.00032731247802075814,-0.00030627030400864896,2.104217401210917e-05,-0.20539168091644247,-0.1921875173702874,0.013204163546155095
3.6,-1055.103239946977,-527.551432950626,-527.551442978168,-527.551442977569,-0.0003740457250387408,-0.00035399124010382366,2.0054484934917127e-05,-0.23471723617100884,-0.22213285687815806,0.01258437929285077
3.65,-1055.103269454722,-527.551432950626,-527.551442332967,-527.551442333296,-0.0004035534700506105,-0.0003847884590868489,1.8765010963761597e-05,-0.2532336257223333,-0.24145840356285905,0.011775222159474272
3.7,-1055.103287637566,-527.551432950626,-527.551441791193,-527.551441791457,-0.0004217363139105146,-0.00040405491586170683,1.768139804880775e-05,-0.2646435325086859,-0.2535482877194939,0.011095244789191976
3.75,-1055.103297342716,-527.551432950626,-527.55144155281,-527.551441554173,-0.00043144146388840454,-0.00041423573281917925,1.7205731069225294e-05,-0.27073360606640273,-0.2599368468133677,0.010796759253035021
3.8,-1055.103299927972,-527.551432950626,-527.551441533748,-527.551441533025,-0.0004340267200859671,-0.00041686119914174924,1.716552094421786e-05,-0.2723558788230904,-0.2615843518044483,0.010771527018642132
3.85,-1055.103295878168,-527.551432950626,-527.551441452948,-527.551441453295,-0.00042997691593882337,-0.0004129719250158814,1.7004990922941943e-05,-0.2698145883529132,-0.25914379544348315,0.010670792909430073
3.9,-1055.103285595364,-527.551432950626,-527.551441106599,-527.551441107394,-0.0004196941119971598,-0.00040338137102935434,1.631274096780544e-05,-0.2633620314602348,-0.25312563195602894,0.01023639950420584
3.95,-1055.103270385838,-527.551432950626,-527.551440482949,-527.551440483599,-0.000404484585942555,-0.00038941928994518094,1.506529599737405e-05,-0.25381790976592045,-0.24436429379895397,0.009453615966966495
4.0,-1055.103253525405,-527.551432950626,-527.551439804809,-527.551439805137,-0.0003876241530633706,-0.0003739154591357874,1.3708693927583226e-05,-0.24323782839849117,-0.23463549308276643,0.008602335315724744
4.05,-1055.103236522485,-527.551432950626,-527.551439353403,-527.551439353322,-0.0003706212330598646,-0.00035781576002591464,1.2805473033949966e-05,-0.23256833501062704,-0.2245327793627719,0.008035555647855127
4.1,-1055.103219827267,-527.551432950626,-527.551439252139,-527.551439252606,-0.00035392601489547815,-0.00034132252199015056,1.2603492905327585e-05,-0.22209192744197764,-0.21418311623839278,0.007908811203584843
